1	太阳	人马座	-26.72	4.83	0.000015813
2	天狼星	大犬座	-1.45	1.44	8.6
3	老人星	船底座	-0.65	-5.53	309.15
4	织女星	天琴座	0	0.57	25
5	五车二	御夫座	0.05	-0.54	42.8
6	南门二	半人马座	0.1	4.45	4.39
7	大角星	牧夫座	0.15	-0.11	36.71
8	参宿七	猎户座	0.15	-6.96	862.85
9	南河三	小犬座	0.4	2.67	11.46
10	参宿四	猎户座	0.45	-5.47	497.95
11	水委一	波江座	0.45	-2.7	139.44
12	马腹一	半人马座	0.55	-5.48	525.21
13	牛郎星	天鹰座	0.75	2.2	16.73
14	毕宿五	金牛座	0.85	-0.7	66.64
15	角宿一	室女座	0.95	-3.47	249.74
16	心宿二	天蝎座	1.05	-5.1	553.75
17	北河三	双子座	1.15	1.07	33.78
18	北落师门	南鱼座	1.15	1.72	25.13
19	十字架二	南十字座	1.25	-3.71	320.7
20	天津四	天鹅座	1.25	-6.93	1411.93
21	十字架三	南十字座	1.25	-3.41	278.53
22	轩辕十四	狮子座	1.35	-0.58	79.3
23	弧矢七	大犬座	1.5	-3.97	405.16
24	十字架一	南十字座	1.55	-0.62	88.56
25	尾宿八	天蝎座	1.6	-4.62	571.2
26	参宿五	猎户座	1.6	-2.84	252.44
27	五车五	金牛座	1.65	-1.42	133.89
28	南船二	船底座	1.65	-1.05	113.17
29	参宿二	猎户座	1.65	-7.26	1976.71
30	鹤一	天鹤座	1.7	-0.75	101.01
31	玉衡	大熊座	1.75	-0.27	82.55
32	天船三	英仙座	1.75	-4.21	506.45
33	天社一	船帆座	1.75	-5.92	1116.97
34	箕宿三	人马座	1.75	-1.46	143.3
35	弧矢	大犬座	1.8	-6.66	1606.68
36	摇光	大熊座	1.85	-0.67	103.94
37	尾宿五	天蝎座	1.85	-2.76	272.02
38	参宿一	猎户座	1.85	-5.15	817.43
39	北河二	双子座	1.9	0.91	51.55
40	五车三	御夫座	1.9	-0.08	81.11
41	三角形三	南三角座	1.9	-3.49	390.61
42	井宿三	双子座	1.9	-0.73	109.3
43	孔雀十一	孔雀座	1.9	-1.79	178.81
44	军市	大犬座	1.95	-3.95	492.68
45	星宿	长蛇座	1.95	-1.76	180.3
46	北极星	小熊座	1.95	-3.66	432.57
47	天枢	大熊座	2	-0.89	123.64
48	娄宿三	白羊座	2	0.48	65.81
49	土司空	鲸鱼座	2	-0.35	96.32
50	斗宿四	人马座	2.05	-2.17	227.76
51	海石一	船底座	2.15	-4.29	632.09
49	土司空	鲸鱼座	2	-0.35	96.32
50	斗宿四	人马座	2.05	-2.17	227.76
51	海石一	船底座	2.15	-4.29	632.09
